"GeneralArea","RiverKm","Lat","Lon"
"Golden Gate",1.27747826086957,37.8231010559006,-122.465511180124
"Richmond Bridge",14.716,37.9361167626374,-122.444061248038
"Carquinez Bridge",41.471,38.0609112108642,-122.225350446914
"Benicia Bridge",51.69,38.0402952692576,-122.123180848908
"Decker_IsS",86.326,38.0798848648649,-121.758060421622
"ThreeMile",95.2935862068965,38.1068839667241,-121.688896551724
"SR_RioVista",97.611,38.1581182339048,-121.682736361905
"SR_Mouth",102.328,38.1736034666667,-121.648100044444
"SR_SteamboatSl",106.731227272727,38.2186473237879,-121.632286571212
"PotatoSlough",112.734055555556,38.0865944444444,-121.561795833333
"FranksTractE",114.606794871795,38.0711917969231,-121.577026687179
"SJ_PrisonersPt",115.994,38.0594980373529,-121.555397567647
"SJ_MedfordChannel",119.891,38.05398,-121.5112
"SJ_LittleConnection",123.125,38.05786,-121.5013
"Mok_PotatoS",125.655,38.1193925,-121.49802
"Mok_NorthFork",132.205,38.22321667,-121.5072667
"Georg_SloughN",136.499833333333,38.2361120833333,-121.517955291667
"SR_DCC",137.064022222222,38.2419563888889,-121.514697611111
"Mok_SouthFork",141.773,38.22545,-121.49141
"SR_BlwSteam",145.574,38.29931075225,-121.5693824775
"Steam_Marina",145.782580645161,38.3012903225806,-121.579811612903
"SR_SutterSl",149.158,38.3311812962963,-121.581340555556
"SR_Freeport",168.5,38.4556536256522,-121.502017391304
"UpRiver",317.605953020134,38.783,-121.63
